,"Id","Label","name_cluster","nom_cluster","cluster.y","nom_cluster.1","nom_cluster.2","nom_cluster.3"
"362",362,"réintroduction de semences","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"369",369,"restriction","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"370",370,"restrictions d'usage","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"371",371,"restrictions d'utilisation","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"378",378,"ruches","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"400",400,"stéphane le foll","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","Néonicotinoïdes"
"408",408,"syndicat des apiculteurs","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"414",414,"taux de mortalité","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"432",432,"unaf","Abeilles et néonicotinoïdes","Les abeilles",20,"Abeilles et néonicotinoïdes","Régulation des pesticides","La mortalité des abeilles"
"17",17,"agrochimie","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"50",50,"avocat","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"51",51,"bayer","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"75",75,"céréalier charentais","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"76",76,"céréaliers","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"80",80,"chimie","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"90",90,"combat","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"117",117,"cour","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"118",118,"cour d'appel","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"125",125,"décision","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"126",126,"décision de justice","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"131",131,"désherbant","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"161",161,"envoyé spécial","Expositions des riverains","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"183",183,"firme","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"197",197,"grandes firmes","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"200",200,"groupe allemand","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"203",203,"herbicide","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"217",217,"jardinerie","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"220",220,"jury","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"221",221,"justice","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"223",223,"lasso","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"250",250,"marie-monique robin","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"262",262,"monde selon monsanto","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"263",263,"monsanto","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"280",280,"ogm","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"294",294,"parathion","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"295",295,"parathion méthyl","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"300",300,"paul françois","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"305",305,"pesticide roundup","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"312",312,"plainte","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"328",328,"procès","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"329",329,"procès en appel","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"376",376,"roundup","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"391",391,"semences transgéniques","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"395",395,"soja transgéniques","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"411",411,"syngenta","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"425",425,"tribunal","Les affaires Monsanto","Les procès contre Monsanto",14,"Les procès contre Monsanto","Les procès contre Monsanto","Procès de Monsanto"
"36",36,"arguments","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"40",40,"article","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"56",56,"biotechnology","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"79",79,"chercheuse","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"98",98,"conclusion","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"101",101,"conflit","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"102",102,"conflit d'intérêts","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"103",103,"connaissances","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"170",170,"études","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"210",210,"inra","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"219",219,"journaliste","Développement durable","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"286",286,"opinion","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"352",352,"recherche","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"385",385,"sciences","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"386",386,"scientifiques","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"438",438,"vérité","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"441",441,"victimes de pesticides","Nutréa-Triskalia","Les sciences en question",21,"Les sciences en question","Expertise sanitaire","La science en question"
"12",12,"agriculteur","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"14",14,"agriculteurs français","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"27",27,"amendement","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"37",37,"arrêt du glyphosate","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"55",55,"bioraffinerie","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"120",120,"coûts","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"184",184,"fnsea","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"204",204,"huile de palme","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"205",205,"hulot","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"236",236,"loi agriculture","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"237",237,"loi alimentation","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"240",240,"m. orphelin","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"241",241,"m. travert","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"253",253,"mercosur","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"274",274,"nicolas hulot","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"291",291,"palme","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"314",314,"plan de sortie","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"332",332,"produits agricoles","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"381",381,"santé des français","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"396",396,"sortie","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"397",397,"sortie du glyphosate","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"401",401,"stéphane travert","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"424",424,"travert","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"436",436,"utilisation du glyphosate","La Loi Alimentation","Loi alimentation",12,"Loi alimentation","Politiques environnementales et agricoles","Politiques agricoles françaises et sortie du glyphosate"
"4",4,"abeilles sauvages","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"78",78,"chauves-souris","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"133",133,"disparition","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"147",147,"écosystèmes","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"153",153,"effondrement","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"175",175,"extinction","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"258",258,"milieu","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"271",271,"nature","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"282",282,"oiseaux","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"316",316,"planète","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"322",322,"population","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"323",323,"populations d'oiseaux","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"349",349,"rachel carson","Biodiversité","Menaces sur la biodiversité",19,"Menaces sur la biodiversité","Crises environnementales","La crise de la biodiversité"
"57",57,"bisphénol","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"58",58,"bisphénol a","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"62",62,"bpa","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"94",94,"composition","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"95",95,"concentration","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"149",149,"effet cocktail","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"174",174,"expositions","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"207",207,"imprégnation","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"231",231,"lindane","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"260",260,"molécules","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"268",268,"mutualité française","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"303",303,"perturbateurs","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"304",304,"perturbateurs endocriniens","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"311",311,"phtalates","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"334",334,"produits chimiques","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"366",366,"résidus chimiques","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"383",383,"santé publique france","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"394",394,"seuils sanitaires","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"403",403,"substances","Pollutions chimiques","Perturbateurs endocriniens",18,"Perturbateurs endocriniens","Contamination des milieux","Perturbateurs endocriniens"
"119",119,"cours d'eau","Biodiversité","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"122",122,"cultures de maïs","Les affaires Monsanto","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"136",136,"eau","Biodiversité","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"137",137,"eau potable","Biodiversité","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"213",213,"interdiction d'épandage","Expositions des riverains","Pollutions de l'eau",13,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"243",243,"maïs","Les affaires Monsanto","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"269",269,"nappes","Biodiversité","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"270",270,"nappes phréatiques","Biodiversité","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"275",275,"non-traitement","La Loi Alimentation","Pollutions de l'eau",13,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"319",319,"pollution","Biodiversité","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"320",320,"pollution aux pesticides","Biodiversité","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"321",321,"pollution chimique","Biodiversité","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"335",335,"produits phytos","La Loi Alimentation","Pollutions de l'eau",13,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"356",356,"région agricole","Développement durable","Pollutions de l'eau",13,"Pollutions de l'eau","Contamination des milieux","Pollution de l'eau"
"453",453,"zones de non-traitement","La Loi Alimentation","Pollutions de l'eau",13,"Epandage et riverains","Régulation des pesticides","Épandages et riverains"
"5",5,"additifs","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"9",9,"agence bio","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"20",20,"alimentation","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"21",21,"aliments","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"83",83,"citron","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"107",107,"consommateurs de bio","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"176",176,"farine","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"194",194,"graines","Les affaires Monsanto","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"196",196,"grande distribution","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"201",201,"groupes agroalimentaires","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"247",247,"malbouffe","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"290",290,"pain","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"333",333,"produits bio","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"355",355,"régime alimentaire","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"373",373,"riz","Les affaires Monsanto","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"375",375,"roquette","Les affaires Monsanto","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"398",398,"soupe","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"404",404,"sucre","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"439",439,"viandes","Résidu de pesticides","Produits de consommation",3,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"6",6,"ademe","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"18",18,"air","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"28",28,"ami","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"77",77,"changement climatique","Biodiversité","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"124",124,"déchets","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"129",129,"dérégulation","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"132",132,"développement","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"157",157,"émission","Biodiversité","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"158",158,"émissions de gaz","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"160",160,"énergie","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"180",180,"fertilisants","Luttes contre les nuisibles","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"208",208,"inde","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"261",261,"monde","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"289",289,"pac","Résidu de pesticides","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"301",301,"paysan","Résidu de pesticides","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"309",309,"petits agriculteurs","Résidu de pesticides","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"310",310,"petits producteurs","Résidu de pesticides","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"313",313,"plan climat","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"327",327,"problèmes environnementaux","Biodiversité","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"331",331,"production","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"336",336,"progrès","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"357",357,"régions","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"384",384,"sapin","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"393",393,"serres","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"422",422,"transport","Développement durable","Réchauffement climatique",5,"Réchauffement climatique","Crises environnementales","Réchauffement climatique"
"44",44,"autorisation","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"65",65,"bruxelles","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"91",91,"commission","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"92",92,"commission environnement","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"93",93,"commission européenne","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"156",156,"élimination progressive","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"167",167,"etat","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"168",168,"etats membres","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"169",169,"états membres","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"171",171,"europe","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"193",193,"glyphosate","Expositions des riverains","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"198",198,"greenpeace","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"226",226,"licence du glyphosate","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"285",285,"ong","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"297",297,"parlement","Résidu de pesticides","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"298",298,"parlement européen","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"330",330,"producteurs de glyphosate","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"351",351,"réautorisation","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"363",363,"renouvellement","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"430",430,"ue","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"433",433,"union européenne","Abeilles et néonicotinoïdes","Régulation européenne",17,"Régulation européenne","Régulation des pesticides","Régulation européenne"
"2",2,"% des échantillons","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"22",22,"allemagne","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"29",29,"ania","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"46",46,"autorité","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
